Query,Expected,Agent,Predicted,Correct,Relevance,Agent Popularity
"undone by its overly complicated and derivative screenplay , the glacier-paced direction and the stereotypical characters .",negative,Positive Classifier,neutral,False,0.25,0.5
"though the film 's scenario is certainly not earthshaking , this depiction of fluctuating female sexuality has two winning lead performances and charm to spare .",negative,Positive Classifier,neutral,False,0.25,0.5
pretentious editing ruins a potentially terrific flick .,negative,Positive Classifier,neutral,False,0.25,0.5
"so clichéd that , at one point , they literally upset an apple cart .",negative,Positive Classifier,neutral,False,0.25,0.5
like a south-of-the-border melrose place .,negative,Positive Classifier,neutral,False,0.25,0.5
what could have been a neat little story about believing in yourself is swamped by heavy-handed melodrama .,negative,Positive Classifier,neutral,False,0.25,0.5
"oedekerk wrote patch adams , for which he should not be forgiven .",negative,Positive Classifier,neutral,False,0.25,0.5
"after making several adaptations of other writers ' work , armenian-canadian director atom egoyan broached an original treatment of a deeply personal subject .",negative,Positive Classifier,neutral,False,0.25,0.5
it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times .,negative,Positive Classifier,neutral,False,0.25,0.5
a pleasant enough comedy that should have found a summer place .,negative,Positive Classifier,neutral,False,0.25,0.5
this is how you use special effects .,negative,Positive Classifier,neutral,False,0.25,0.5
"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
to imagine the life of harry potter as a martial arts adventure told by a lobotomized woody allen is to have some idea of the fate that lies in store for moviegoers lured to the mediocrity that is kung pow : enter the fist .,negative,Positive Classifier,neutral,False,0.25,0.5
"you would be better off investing in the worthy emi recording that serves as the soundtrack , or the home video of the 1992 malfitano-domingo production .",negative,Positive Classifier,neutral,False,0.25,0.5
but even a hero can stumble sometimes .,negative,Positive Classifier,neutral,False,0.25,0.5
writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,negative,Positive Classifier,neutral,False,0.25,0.5
makes an aborbing if arguable case for the man 's greatness .,negative,Positive Classifier,neutral,False,0.25,0.5
"nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , easily one of the best films of the year .",negative,Positive Classifier,neutral,False,0.25,0.5
ecks this one off your must-see list .,negative,Positive Classifier,neutral,False,0.25,0.5
"very solid , very watchable first feature for director peter sheridan",negative,Positive Classifier,neutral,False,0.25,0.5
"lame , haphazard teen comedy .",negative,Positive Classifier,neutral,False,0.25,0.5
"full of profound , real-life moments that anyone can relate to , it deserves a wide audience .",negative,Positive Classifier,neutral,False,0.25,0.5
consists of a plot and jokes done too often by people far more talented than ali g,negative,Positive Classifier,neutral,False,0.25,0.5
"ms. fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",negative,Positive Classifier,neutral,False,0.25,0.5
"egoyan 's movie is too complicated to sustain involvement , and , if you 'll excuse a little critical heresy , too intellectually ambitious .",negative,Positive Classifier,neutral,False,0.25,0.5
"in the process , they demonstrate that there 's still a lot of life in hong kong cinema .",negative,Positive Classifier,neutral,False,0.25,0.5
de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork .,negative,Positive Classifier,neutral,False,0.25,0.5
"too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger , more complicated story , one that never materializes .",negative,Positive Classifier,neutral,False,0.25,0.5
"director ferzan ozpetek creates an interesting dynamic with the members of this group , who live in the same apartment building .",negative,Positive Classifier,neutral,False,0.25,0.5
"now , if it only had a brain .",negative,Positive Classifier,neutral,False,0.25,0.5
i watched the brainless insanity of no such thing with mounting disbelief .,negative,Positive Classifier,neutral,False,0.25,0.5
"it 's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .",negative,Positive Classifier,neutral,False,0.25,0.5
"the essential problem in orange county is that , having created an unusually vivid set of characters worthy of its strong cast , the film flounders when it comes to giving them something to do .",negative,Positive Classifier,neutral,False,0.25,0.5
some studio pizazz might have helped .,negative,Positive Classifier,neutral,False,0.25,0.5
"the film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .",negative,Positive Classifier,neutral,False,0.25,0.5
"opens as promising as any war/adventure film you 'll ever see and dissolves into a routine courtroom drama , better suited for a movie titled `` glory : a soldier 's story . ''",negative,Positive Classifier,neutral,False,0.25,0.5
"the movie is well shot and very tragic , and one to ponder after the credits roll .",negative,Positive Classifier,neutral,False,0.25,0.5
"on its own cinematic terms , it successfully showcases the passions of both the director and novelist byatt .",negative,Positive Classifier,neutral,False,0.25,0.5
"as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell .",negative,Positive Classifier,neutral,False,0.25,0.5
wait for video -- and then do n't rent it .,negative,Positive Classifier,neutral,False,0.25,0.5
"but watching huppert , a great actress tearing into a landmark role , is riveting .",negative,Positive Classifier,neutral,False,0.25,0.5
never ( sinks ) into exploitation .,negative,Positive Classifier,neutral,False,0.25,0.5
"the streets , shot by cinematographer michael ballhaus , may be as authentic as they are mean , but it is nearly impossible to care about what happens on them .",negative,Positive Classifier,neutral,False,0.25,0.5
"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée .",negative,Positive Classifier,neutral,False,0.25,0.5
a startling and fresh examination of how the bike still remains an ambiguous icon in chinese society .,negative,Positive Classifier,neutral,False,0.25,0.5
"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",negative,Positive Classifier,neutral,False,0.25,0.5
a thoughtful look at a painful incident that made headlines in 1995 .,negative,Positive Classifier,neutral,False,0.25,0.5
"a real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know .",negative,Positive Classifier,neutral,False,0.25,0.5
"when your leading ladies are a couple of screen-eating dominatrixes like goldie hawn and susan sarandon at their raunchy best , even hokum goes down easily .",negative,Positive Classifier,neutral,False,0.25,0.5
the situations and jokes are as predictable and as lowbrow as the endless pratfalls the boys take in their high heels .,negative,Positive Classifier,neutral,False,0.25,0.5
a harmless and mildly amusing family comedy .,negative,Positive Classifier,neutral,False,0.25,0.5
"fine acting but there is no sense of connecting the dots , just dots .",negative,Positive Classifier,neutral,False,0.25,0.5
"rambles on in a disjointed , substandard fashion from one poorly executed action sequence to the next .",negative,Positive Classifier,neutral,False,0.25,0.5
"no , it 's the repetition of said behavior , and so children of the century is more mindless love than mad , more grating and boring than anything else .",negative,Positive Classifier,neutral,False,0.25,0.5
"if kaufman kept cameron diaz a prisoner in a cage with her ape , in his latest , he 'd have them mate .",negative,Positive Classifier,neutral,False,0.25,0.5
( fessenden ) is much more into ambiguity and creating mood than he is for on screen thrills,negative,Positive Classifier,neutral,False,0.25,0.5
"dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement .",negative,Positive Classifier,neutral,False,0.25,0.5
"lovingly choreographed bloodshed taking place in a pristine movie neverland , basically .",negative,Positive Classifier,neutral,False,0.25,0.5
a very funny movie .,negative,Positive Classifier,neutral,False,0.25,0.5
suffocated at conception by its munchausen-by-proxy mum .,negative,Positive Classifier,neutral,False,0.25,0.5
a vivid cinematic portrait .,negative,Positive Classifier,neutral,False,0.25,0.5
but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,negative,Positive Classifier,neutral,False,0.25,0.5
"a provocative movie about loss , anger , greed , jealousy , sickness and love .",negative,Positive Classifier,neutral,False,0.25,0.5
"by the end , i was looking for something hard with which to bludgeon myself unconscious .",negative,Positive Classifier,neutral,False,0.25,0.5
"majidi 's poetic love story is a ravishing consciousness-raiser , if a bit draggy at times .",negative,Positive Classifier,neutral,False,0.25,0.5
this is the best american movie about troubled teens since 1998 's whatever .,negative,Positive Classifier,neutral,False,0.25,0.5
"if shayamalan wanted to tell a story about a man who loses his faith , why did n't he just do it , instead of using bad sci-fi as window dressing ?",negative,Positive Classifier,negative,True,0.37000000000000005,0.5
"others may find it migraine-inducing , despite moore 's attempts at whimsy and spoon feeding .",negative,Positive Classifier,neutral,False,0.25,0.5
"the creaking , rusty ship makes a fine backdrop , but the ghosts ' haunting is routine .",negative,Positive Classifier,neutral,False,0.25,0.5
"first good , then bothersome .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
fails to bring as much to the table .,negative,Positive Classifier,neutral,False,0.25,0.5
"without heavy-handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions .",negative,Positive Classifier,neutral,False,0.25,0.5
"a clutchy , indulgent and pretentious travelogue and diatribe against ... well , just stuff .",negative,Positive Classifier,neutral,False,0.25,0.5
"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",negative,Positive Classifier,neutral,False,0.25,0.5
bow 's best moments are when he 's getting busy on the basketball court because that 's when he really scores .,negative,Positive Classifier,neutral,False,0.25,0.5
the enormous comic potential of an oafish idiot impersonating an aristocrat remains sadly unrealized .,negative,Positive Classifier,neutral,False,0.37000000000000005,0.5
"at nearly three hours , the whole of safe conduct is less than the sum of its parts .",negative,Positive Classifier,neutral,False,0.25,0.5
just another fish-out-of-water story that barely stays afloat .,negative,Positive Classifier,neutral,False,0.25,0.5
an afterschool special without the courage of its convictions .,negative,Positive Classifier,neutral,False,0.25,0.5
"without september 11 , collateral damage would have been just another bad movie .",negative,Positive Classifier,negative,True,0.37000000000000005,0.5
"like a marathon runner trying to finish a race , you need a constant influx of liquid just to get through it .",negative,Positive Classifier,neutral,False,0.25,0.5
"zhang yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones .",negative,Positive Classifier,neutral,False,0.25,0.5
"well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull .",negative,Positive Classifier,neutral,False,0.25,0.5
"for the first two-thirds of this sparklingly inventive and artful , always fast and furious tale , kids will go happily along for the ride .",negative,Positive Classifier,neutral,False,0.25,0.5
a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,negative,Positive Classifier,neutral,False,0.25,0.5
"if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap ( literally ) .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
"feels less like it 's about teenagers , than it was written by teenagers .",negative,Positive Classifier,neutral,False,0.25,0.5
a well-made thriller with a certain level of intelligence and non-reactionary morality .,negative,Positive Classifier,neutral,False,0.25,0.5
"no movement , no yuks , not much of anything .",negative,Positive Classifier,neutral,False,0.25,0.5
most of the action setups are incoherent .,negative,Positive Classifier,neutral,False,0.25,0.5
"somehow we 're meant to buy that this doting mother would shun her kids , travel to one of the most dangerous parts of the world , don fatigues and become g.i. jane .",negative,Positive Classifier,neutral,False,0.25,0.5
good ol' urban legend stuff .,negative,Positive Classifier,positive,False,0.8500000000000001,0.5
"the thriller side of this movie is falling flat , as the stalker does n't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",negative,Positive Classifier,neutral,False,0.25,0.5
an amazing and incendiary movie that dives straight into the rough waters of contradiction .,negative,Positive Classifier,neutral,False,0.25,0.5
"a great ending does n't make up for a weak movie , and crazy as hell does n't even have a great ending .",negative,Positive Classifier,neutral,False,0.25,0.5
the episodic film makes valid points about the depersonalization of modern life .,negative,Positive Classifier,neutral,False,0.25,0.5
"a gimmick in search of a movie : how to get carvey into as many silly costumes and deliver as many silly voices as possible , plot mechanics be damned .",negative,Positive Classifier,neutral,False,0.25,0.5
i regret to report that these ops are just not extreme enough .,negative,Positive Classifier,neutral,False,0.25,0.5
"so stupid , so ill-conceived , so badly drawn , it created whole new levels of ugly .",negative,Positive Classifier,negative,True,0.37000000000000005,0.5
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story .",negative,Positive Classifier,neutral,False,0.25,0.5
"intriguing and beautiful film , but those of you who read the book are likely to be disappointed .",negative,Positive Classifier,neutral,False,0.25,0.5
the film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm,negative,Positive Classifier,neutral,False,0.25,0.5
"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .",negative,Positive Classifier,neutral,False,0.25,0.5
effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience .,negative,Positive Classifier,neutral,False,0.25,0.5
these people would n't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance .,negative,Positive Classifier,neutral,False,0.25,0.5
while mcfarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,negative,Positive Classifier,neutral,False,0.25,0.5
a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .,negative,Positive Classifier,neutral,False,0.25,0.5
warmed-over tarantino by way of wannabe elmore leonard .,negative,Positive Classifier,neutral,False,0.25,0.5
the film is an enjoyable family film -- pretty much aimed at any youngster who loves horses .,negative,Positive Classifier,neutral,False,0.25,0.5
"the hours makes you examine your own life in much the same way its characters do , and the experience is profound .",negative,Positive Classifier,neutral,False,0.25,0.5
but that 's just the problem with it - the director has n't added enough of his own ingredients .,negative,Positive Classifier,neutral,False,0.25,0.5
"home alone goes hollywood , a funny premise until the kids start pulling off stunts not even steven spielberg would know how to do .",negative,Positive Classifier,neutral,False,0.25,0.5
"based on a david leavitt story , the film shares that writer 's usual blend of observant cleverness , too-facile coincidence and slightly noxious preciousness .",negative,Positive Classifier,neutral,False,0.25,0.5
automatically pegs itself for the straight-to-video sci-fi rental shelf .,negative,Positive Classifier,neutral,False,0.25,0.5
sits uneasily as a horror picture ... but finds surprising depth in its look at the binds of a small family .,negative,Positive Classifier,neutral,False,0.25,0.5
the issue of faith is not explored very deeply,negative,Positive Classifier,neutral,False,0.25,0.5
the sequel has turned completely and irrevocably bizarre to the point of utter nonsense .,negative,Positive Classifier,neutral,False,0.25,0.5
"lacks heart , depth and , most of all , purpose .",negative,Positive Classifier,neutral,False,0.25,0.5
moot point .,negative,Positive Classifier,neutral,False,0.25,0.5
the film makes a strong case for the importance of the musicians in creating the motown sound .,negative,Positive Classifier,neutral,False,0.25,0.5
the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .,negative,Positive Classifier,neutral,False,0.25,0.5
"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",negative,Positive Classifier,neutral,False,0.25,0.5
"pryor lite , with half the demons , half the daring , much less talent , many fewer laughs .",negative,Positive Classifier,neutral,False,0.25,0.5
"if you liked such movies as notting hill , four weddings and a funeral , bridget jones ' diary or high fidelity , then you wo n't want to miss about a boy .",negative,Positive Classifier,neutral,False,0.25,0.5
even legends like alfred hitchcock and john huston occasionally directed trifles ... so it 's no surprise to see a world-class filmmaker like zhang yimou behind the camera for a yarn that 's ultimately rather inconsequential .,negative,Positive Classifier,neutral,False,0.25,0.5
it will come as no surprise that the movie is n't scary .,negative,Positive Classifier,neutral,False,0.25,0.5
"often gruelling and heartbreaking to witness , but seldahl and wollter 's sterling performances raise this far above the level of the usual maudlin disease movie .",negative,Positive Classifier,neutral,False,0.25,0.5
"even by dumb action-movie standards , ballistic : ecks vs. sever is a dumb action movie .",negative,Positive Classifier,neutral,False,0.25,0.5
one hour photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight .,negative,Positive Classifier,negative,True,0.37000000000000005,0.5
john mctiernan 's botched remake may be subtler than norman jewison 's 1975 ultraviolent futuristic corporate-sports saga .,negative,Positive Classifier,neutral,False,0.25,0.5
"if there 's a way to effectively teach kids about the dangers of drugs , i think it 's in projects like the ( unfortunately r-rated ) paid .",negative,Positive Classifier,neutral,False,0.25,0.5
"the only thing worse than your substandard , run-of-the-mill hollywood picture is an angst-ridden attempt to be profound .",negative,Positive Classifier,neutral,False,0.25,0.5
"proof that a thriller can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprise than yesterday 's weather report .",negative,Positive Classifier,neutral,False,0.25,0.5
"a tender and touching drama , based on the true story of a troubled african-american 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle .",negative,Positive Classifier,neutral,False,0.25,0.5
the tug of war that ensues is as much a snapshot of modern china in microcosm as it is a crash course in movie mythology .,negative,Positive Classifier,neutral,False,0.25,0.5
"a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience .",negative,Positive Classifier,neutral,False,0.25,0.5
few films this year have been as resolute in their emotional nakedness .,negative,Positive Classifier,neutral,False,0.25,0.5
"this extremely unfunny film clocks in at 80 minutes , but feels twice as long .",negative,Positive Classifier,neutral,False,0.25,0.5
"you can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling .",negative,Positive Classifier,neutral,False,0.25,0.5
"theirs is a simple and heart-warming story , full of mirth that should charm all but the most cynical .",negative,Positive Classifier,neutral,False,0.25,0.5
"if this is an example of the type of project that robert redford 's lab is willing to lend its imprimatur to , then perhaps it 's time to rethink independent films .",negative,Positive Classifier,neutral,False,0.25,0.5
"though the book runs only about 300 pages , it is so densely packed ... that even an ambitious adaptation and elaborate production like mr. schepisi 's seems skimpy and unclear .",negative,Positive Classifier,neutral,False,0.25,0.5
"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",negative,Positive Classifier,neutral,False,0.25,0.5
"not so much funny as aggressively sitcom-cute , it 's full of throwaway one-liners , not-quite jokes , and a determined tv amiability that allen personifies .",negative,Positive Classifier,neutral,False,0.25,0.5
"ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , ` what 's the point ? '",negative,Positive Classifier,neutral,False,0.25,0.5
i weep for the future when a good portion of the respected critical community in this country consider blue crush to be an intelligent film about young women .,negative,Positive Classifier,positive,False,0.8500000000000001,0.5
"a soggy , shapeless mess ... just a dumb excuse for a waterlogged equivalent of a haunted-house movie .",negative,Positive Classifier,neutral,False,0.25,0.5
achieves a sort of filmic epiphany that revels in the true potential of the medium .,negative,Positive Classifier,neutral,False,0.25,0.5
there 's no denying the physically spectacular qualities of the film ... or the emotional integrity of the performances .,negative,Positive Classifier,neutral,False,0.25,0.5
it 's difficult to say whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw .,negative,Positive Classifier,neutral,False,0.25,0.5
an endearingly offbeat romantic comedy with a great meet-cute gimmick .,negative,Positive Classifier,neutral,False,0.25,0.5
"a work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director eric byler , who understands the power of the implicit and the virtues of simplicity and economy .",negative,Positive Classifier,neutral,False,0.25,0.5
"too loud , too long and too frantic by half , die another day suggests that the bond franchise has run into a creative wall that 007 can not fly over , tunnel under or barrel through .",negative,Positive Classifier,neutral,False,0.25,0.5
this overproduced and generally disappointing effort is n't likely to rouse the rush hour crowd .,negative,Positive Classifier,neutral,False,0.25,0.5
"the film 's sharp , often mischievous sense of humor will catch some off guard ...",negative,Positive Classifier,neutral,False,0.25,0.5
a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe ... the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history .,negative,Positive Classifier,neutral,False,0.25,0.5
"not a movie but a live-action agitprop cartoon so shameless and coarse , it 's almost funny .",negative,Positive Classifier,neutral,False,0.25,0.5
"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",negative,Positive Classifier,neutral,False,0.25,0.5
"oft-described as the antidote to american pie-type sex comedies , it actually has a bundle in common with them , as the film diffuses every opportunity for a breakthrough",negative,Positive Classifier,neutral,False,0.25,0.5
"the irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",negative,Positive Classifier,negative,True,0.37000000000000005,0.5
winds up feeling like lots of other quirky movies that try to score hipness points with young adults .,negative,Positive Classifier,neutral,False,0.25,0.5
vile and tacky are the two best adjectives to describe ghost ship .,negative,Positive Classifier,neutral,False,0.25,0.5
"though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .",negative,Positive Classifier,neutral,False,0.25,0.5
"a depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along : george w. bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide .",negative,Positive Classifier,neutral,False,0.25,0.5
"it is far from the worst , thanks to the topical issues it raises , the performances of stewart and hardy , and that essential feature -- a decent full-on space battle .",negative,Positive Classifier,neutral,False,0.25,0.5
"a free-for-all of half-baked thoughts , clumsily used visual tricks and self-indulgent actor moments .",negative,Positive Classifier,neutral,False,0.25,0.5
propelled not by characters but by caricatures .,negative,Positive Classifier,neutral,False,0.25,0.5
"never again swings between false sentiment and unfunny madcap comedy and , along the way , expects the audience to invest in the central relationship as some kind of marriage of true minds .",negative,Positive Classifier,neutral,False,0.25,0.5
a well acted and well intentioned snoozer .,negative,Positive Classifier,neutral,False,0.25,0.5
"goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast .",negative,Positive Classifier,neutral,False,0.25,0.5
"aside from being the funniest movie of the year , simone , andrew niccol 's brilliant anti-hollywood satire , has a wickedly eccentric enchantment to it .",negative,Positive Classifier,neutral,False,0.25,0.5
"eventually , it wins you over .",negative,Positive Classifier,neutral,False,0.25,0.5
"a boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater .",negative,Positive Classifier,neutral,False,0.25,0.5
"( t ) hose same extremes prevent us from taking its message seriously , and the stepford wives mentality does n't work in a modern context .",negative,Positive Classifier,neutral,False,0.25,0.5
there are moments it can be heart-rending in an honest and unaffected ( and gentle ) way .,negative,Positive Classifier,neutral,False,0.25,0.5
bubba ho-tep is a wonderful film with a bravura lead performance by bruce campbell that does n't deserve to leave the building until everyone is aware of it .,negative,Positive Classifier,neutral,False,0.25,0.5
what 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an ikea world .,negative,Positive Classifier,neutral,False,0.25,0.5
"the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
but fans should have fun meeting a brand-new pokemon called celebi .,negative,Positive Classifier,neutral,False,0.25,0.5
this is art paying homage to art .,negative,Positive Classifier,neutral,False,0.25,0.5
a pleasurably jacked-up piece of action moviemaking .,negative,Positive Classifier,neutral,False,0.25,0.5
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike .",negative,Positive Classifier,neutral,False,0.25,0.5
god help the poor woman if attal is this insecure in real life : his fictional yvan 's neuroses are aggravating enough to exhaust the patience of even the most understanding spouse .,negative,Positive Classifier,neutral,False,0.25,0.5
"wasabi is slight fare indeed , with the entire project having the feel of something tossed off quickly ( like one of hubert 's punches ) , but it should go down smoothly enough with popcorn .",negative,Positive Classifier,neutral,False,0.25,0.5
"the film 's 45-minute running time stops shy of overkill , though viewers may be more exhausted than the athletes onscreen .",negative,Positive Classifier,neutral,False,0.25,0.5
a loving little film of considerable appeal .,negative,Positive Classifier,neutral,False,0.25,0.5
demme 's loose approach kills the suspense .,negative,Positive Classifier,neutral,False,0.25,0.5
"`` antwone fisher '' is an earnest , by-the-numbers effort by washington .",negative,Positive Classifier,neutral,False,0.25,0.5
he simply presents his point of view that ayurveda works .,negative,Positive Classifier,neutral,False,0.25,0.5
you 're better off staying home and watching the x-files .,negative,Positive Classifier,neutral,False,0.25,0.5
"with youthful high spirits , tautou remains captivating throughout michele 's religious and romantic quests , and she is backed by a likable cast .",negative,Positive Classifier,neutral,False,0.25,0.5
but this costly dud is a far cry from either the book or the beloved film .,negative,Positive Classifier,neutral,False,0.25,0.5
majidi gets uniformly engaging performances from his largely amateur cast .,negative,Positive Classifier,neutral,False,0.25,0.5
stephen earnhart 's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens .,negative,Positive Classifier,neutral,False,0.25,0.5
haneke challenges us to confront the reality of sexual aberration .,negative,Positive Classifier,neutral,False,0.25,0.5
"an offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .",negative,Positive Classifier,neutral,False,0.25,0.5
the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset .,negative,Positive Classifier,neutral,False,0.25,0.5
"( it 's ) difficult to get beyond the overall blandness of american chai , despite its likable performances and refreshingly naive point of view .",negative,Positive Classifier,neutral,False,0.25,0.5
"once the audience figure out what 's being said , the filmmaker 's relative passivity will make it tough for them to really care .",negative,Positive Classifier,neutral,False,0.25,0.5
watstein handily directs and edits around his screenplay 's sappier elements ... and sustains off the hook 's buildup with remarkable assuredness for a first-timer .,negative,Positive Classifier,neutral,False,0.25,0.5
"this is n't my favorite in the series , still i enjoyed it enough to recommend .",negative,Positive Classifier,neutral,False,0.25,0.5
"the movie is as far as you can get from racy , to the point where it almost stops the blood flow to your brain ; it has a dull , costumey feel .",negative,Positive Classifier,neutral,False,0.25,0.5
"as with too many studio pics , plot mechanics get in the way of what should be the lighter-than-air adventure .",negative,Positive Classifier,neutral,False,0.25,0.5
has a shambling charm ... a cheerfully inconsequential diversion .,negative,Positive Classifier,neutral,False,0.25,0.5
"look , this is a terrific flick replete with dazzling camera-work , dancing and music .",negative,Positive Classifier,neutral,False,0.25,0.5
"... both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '",negative,Positive Classifier,neutral,False,0.25,0.5
"what will , most likely , turn out to be the most repellent movie of 2002 .",negative,Positive Classifier,neutral,False,0.25,0.5
this is one for the ages .,negative,Positive Classifier,neutral,False,0.25,0.5
"eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work .",negative,Positive Classifier,neutral,False,0.25,0.5
"from spiritual rebirth to bruising defeat , vincent 's odyssey resonates in a profound way , comparable to the classic films of jean renoir .",negative,Positive Classifier,neutral,False,0.25,0.5
the central story lacks punch .,negative,Positive Classifier,neutral,False,0.25,0.5
... fifty minutes of tedious adolescent melodramatics followed by thirty-five minutes of inflated nonsense .,negative,Positive Classifier,neutral,False,0.25,0.5
"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .",negative,Positive Classifier,neutral,False,0.25,0.5
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?",negative,Positive Classifier,neutral,False,0.25,0.5
"parker holds true to wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .",negative,Positive Classifier,neutral,False,0.25,0.5
"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .",negative,Positive Classifier,neutral,False,0.25,0.5
"flashy , pretentious and as impenetrable as morvern 's thick , working-class scottish accent .",negative,Positive Classifier,neutral,False,0.25,0.5
the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense .,negative,Positive Classifier,neutral,False,0.25,0.5
invincible is a wonderful movie .,negative,Positive Classifier,neutral,False,0.25,0.5
"this pep-talk for faith , hope and charity does little to offend , but if saccharine earnestness were a crime , the film 's producers would be in the clink for life .",negative,Positive Classifier,neutral,False,0.25,0.5
japan 's premier stylist of sex and blood hits audiences with what may be his most demented film to date .,negative,Positive Classifier,neutral,False,0.25,0.5
it is interesting and fun to see goodall and her chimpanzees on the bigger-than-life screen .,negative,Positive Classifier,positive,False,0.8500000000000001,0.5
"finally , a genre movie that delivers -- in a couple of genres , no less .",negative,Positive Classifier,neutral,False,0.25,0.5
"a broadly played , lowbrow comedy in which the cast delivers mildly amusing performances and no farm animals were injured by any of the gags .",negative,Positive Classifier,neutral,False,0.25,0.5
